#Frame, Timer, HeadX, HeadY, HeadZ, HeadRX, HeadRY, HeadRZ, LHandX, LHandY, LHandZ, LHandRX, LHandRY, LHandRZ, RHandX, RHandY, RHandZ, RHandRX, RHandRY, RHandRZ, LEyeRX, LEyeRY, LEyeRZ, REyeRX, REyeRY, REyeRZ, LEyeConf, REyeConf
1 0.00881725 -0.91482 1.458814 0.5480942 11.45212 128.1379 4.3369 -0.8951079 1.456395 0.5739933 11.45212 128.1379 4.3369 -0.9345322 1.461233 0.522195 11.45212 128.1379 4.3369 29.5342 124.1511 0 29.59621 119.3142 9.818822E-07 0.5 0.5
2 0.01738935 -0.9140248 1.457404 0.5445732 12.06441 125.9774 3.854297 -0.8952659 1.455259 0.5711944 12.06441 125.9774 3.854297 -0.9327836 1.45955 0.517952 12.06441 125.9774 3.854297 29.69123 123.7936 0 29.74305 118.9493 -9.833169E-07 0.5 0.5
3 0.0233401 -0.9136498 1.456885 0.5427132 12.30482 125.2611 3.644623 -0.8952074 1.454858 0.5695637 12.30482 125.2611 3.644623 -0.9320922 1.458912 0.5158626 12.30482 125.2611 3.644623 31.55668 124.2203 1.001937E-06 31.6515 119.5286 1.002958E-06 0.5 0.5
4 0.02910405 -0.9131523 1.456433 0.540697 12.45629 124.6802 3.52031 -0.8949724 1.454476 0.5677311 12.45629 124.6802 3.52031 -0.9313323 1.45839 0.5136628 12.45629 124.6802 3.52031 31.76109 123.3696 2.008288E-06 31.83987 118.6675 0 0.5 0.5
5 0.0372742 -0.9128274 1.456229 0.5395868 12.44866 124.5389 3.539991 -0.8947164 1.454261 0.5666664 12.44866 124.5389 3.539991 -0.9309384 1.458197 0.5125072 12.44866 124.5389 3.539991 31.87032 122.738 3.015997E-06 31.94161 118.0303 1.006111E-06 0.5 0.5
6 0.04263275 -0.9118841 1.454993 0.5355368 12.74554 123.1441 3.335716 -0.8944209 1.453141 0.5630466 12.74554 123.1441 3.335716 -0.9293474 1.456845 0.508027 12.74554 123.1441 3.335716 30.30231 125.1906 9.88879E-07 30.47338 120.787 9.906119E-07 0.5 0.5
7 0.0489976 -0.9113384 1.454307 0.533789 12.90432 122.7173 3.267037 -0.8940763 1.452494 0.5614281 12.90432 122.7173 3.267037 -0.9286005 1.45612 0.5061499 12.90432 122.7173 3.267037 30.64472 123.6943 1.984725E-06 30.79755 119.2747 -9.939367E-07 0.5 0.5
8 0.05989955 -0.9107911 1.453461 0.5322123 13.15353 122.4313 3.168467 -0.8936614 1.451704 0.5599373 13.15353 122.4313 3.168467 -0.9279208 1.455217 0.5044873 13.15353 122.4313 3.168467 29.20853 128.9481 -9.781454E-07 29.57282 124.0786 -1.963309E-06 0.5 0.5
9 0.06457095 -0.9102293 1.452656 0.5304793 13.4473 122.1016 3.056367 -0.8932526 1.450963 0.5583022 13.4473 122.1016 3.056367 -0.9272059 1.454348 0.5026563 13.4473 122.1016 3.056367 29.46478 128.5001 9.80607E-07 29.82009 123.6176 9.840737E-07 0.5 0.5
10 0.07010285 -0.9097741 1.452287 0.529721 13.65061 122.0314 3.028906 -0.8928331 1.450611 0.5575666 13.65061 122.0314 3.028906 -0.9267151 1.453963 0.5018754 13.65061 122.0314 3.028906 29.77546 128.1621 0 30.08348 123.9997 0 0.5 0.5
11 0.0775324 -0.90834 1.450824 0.5260914 14.22443 121.1569 2.816225 -0.8918117 1.449269 0.5541909 14.22443 121.1569 2.816225 -0.9248684 1.452378 0.4979919 14.22443 121.1569 2.816225 29.97022 128.0611 -1.971114E-06 30.27761 123.8904 -9.886299E-07 0.5 0.5
12 0.08393584 -0.9073691 1.450218 0.5245208 14.52216 120.8393 2.772474 -0.8909977 1.44869 0.5527135 14.52216 120.8393 2.772474 -0.9237404 1.451746 0.4963281 14.52216 120.8393 2.772474 30.55651 127.16 0 30.85316 122.9634 -9.945127E-07 0.5 0.5
13 0.09102294 -0.9063495 1.449608 0.5230471 14.82309 120.5282 2.732501 -0.8901327 1.448104 0.5513303 14.82309 120.5282 2.732501 -0.9225662 1.451112 0.4947639 14.82309 120.5282 2.732501 31.55147 128.9115 1.001881E-06 31.96518 123.9493 1.006369E-06 0.5 0.5
