#Frame, Timer, HeadX, HeadY, HeadZ, HeadRX, HeadRY, HeadRZ, LHandX, LHandY, LHandZ, LHandRX, LHandRY, LHandRZ, RHandX, RHandY, RHandZ, RHandRX, RHandRY, RHandRZ, LEyeRX, LEyeRY, LEyeRZ, REyeRX, REyeRY, REyeRZ, LEyeConf, REyeConf
1 0.03032365 -1.160696 1.578723 -0.3790921 13.89195 48.16088 3.776882 -1.183108 1.576607 -0.3548448 13.89195 48.16088 3.776882 -1.138284 1.580839 -0.4033393 13.89195 48.16088 3.776882 17.15344 72.48261 0 17.63847 70.4923 0 0.5 0.5
2 0.0598285 -1.170099 1.577002 -0.3724364 13.03415 48.64613 0.8052149 -1.192036 1.576549 -0.3476723 13.03415 48.64613 0.8052149 -1.148162 1.577455 -0.3972006 13.03415 48.64613 0.8052149 17.38929 67.64368 0 17.92014 64.459 -8.973052E-07 0.5 0.5
3 0.08690301 -1.180811 1.575909 -0.3650756 12.27904 53.55658 358.4602 -1.200306 1.576778 -0.338357 12.27904 53.55658 358.4602 -1.161316 1.57504 -0.3917943 12.27904 53.55658 358.4602 16.53472 75.88427 8.906023E-07 16.98158 72.93369 8.926963E-07 0.5 0.5
4 0.1239012 -1.183524 1.574583 -0.3625391 11.80071 55.76912 0.04504431 -1.202141 1.574558 -0.3351873 11.80071 55.76912 0.04504431 -1.164908 1.574609 -0.389891 11.80071 55.76912 0.04504431 16.01139 81.10197 8.882309E-07 16.40439 78.15222 8.900036E-07 0.5 0.5
5 0.1521668 -1.189001 1.573213 -0.3594535 11.14678 59.5549 359.9425 -1.20576 1.573245 -0.3309262 11.14678 59.5549 359.9425 -1.172241 1.57318 -0.3879808 11.14678 59.5549 359.9425 15.84948 80.60786 0 16.2767 76.7248 -8.894222E-07 0.5 0.5
6 0.1808554 -1.193853 1.572616 -0.3590647 12.06312 63.10498 0.8160907 -1.208906 1.572155 -0.3296048 12.06312 63.10498 0.8160907 -1.1788 1.573076 -0.3885246 12.06312 63.10498 0.8160907 10.96013 85.36974 -2.17409E-06 11.23551 82.45847 -8.704562E-07 0.5 0.5
7 0.2194655 -1.198514 1.574848 -0.3605595 11.88297 67.66859 2.502422 -1.211349 1.573434 -0.330097 11.88297 67.66859 2.502422 -1.18568 1.576261 -0.391022 11.88297 67.66859 2.502422 10.69409 87.2562 -4.34432E-07 11.02064 83.89223 -4.349072E-07 0.5 0.5
8 0.248207 -1.198367 1.57884 -0.359766 9.641774 68.66899 2.145735 -1.210587 1.577619 -0.3290435 9.641774 68.66899 2.145735 -1.186147 1.580061 -0.3904884 9.641774 68.66899 2.145735 8.807622 87.07208 4.319807E-07 9.133279 83.27073 -8.647369E-07 0.5 0.5
9 0.2703787 -1.197304 1.582716 -0.3601944 5.695574 69.99825 2.407287 -1.208741 1.581333 -0.3291786 5.695574 69.99825 2.407287 -1.185868 1.584099 -0.3912102 5.695574 69.99825 2.407287 7.027429 86.37959 0 7.31402 82.59194 4.303888E-07 0.5 0.5
10 0.3157345 -1.19715 1.58029 -0.36578 7.888144 70.6965 1.948897 -1.208227 1.579175 -0.3346231 7.888144 70.6965 1.948897 -1.186073 1.581404 -0.396937 7.888144 70.6965 1.948897 9.644915 85.9447 -4.330073E-07 9.983536 81.68175 8.669006E-07 0.5 0.5
11 0.3431202 -1.193022 1.581573 -0.3750981 8.595206 72.68988 0.787223 -1.202931 1.581124 -0.3435338 8.595206 72.68988 0.787223 -1.183114 1.582023 -0.4066625 8.595206 72.68988 0.787223 7.756993 88.39261 0 8.054308 84.1321 -4.311397E-07 0.5 0.5
12 0.3749949 -1.19008 1.583937 -0.376472 5.852625 72.47322 0.6668575 -1.20008 1.583554 -0.3449358 5.852625 72.47322 0.6668575 -1.180079 1.58432 -0.4080082 5.852625 72.47322 0.6668575 5.751394 89.01779 -6.435699E-07 5.923625 84.78031 -2.145892E-07 0.5 0.5
13 0.4120967 -1.180507 1.588092 -0.3885404 3.515426 74.62161 359.45 -1.189262 1.588409 -0.3566352 3.515426 74.62161 359.45 -1.171752 1.587775 -0.4204456 3.515426 74.62161 359.45 5.454233 87.92607 0 5.609486 83.46407 -2.144705E-07 0.5 0.5
