#Frame, Timer, HeadX, HeadY, HeadZ, HeadRX, HeadRY, HeadRZ, LHandX, LHandY, LHandZ, LHandRX, LHandRY, LHandRZ, RHandX, RHandY, RHandZ, RHandRX, RHandRY, RHandRZ, LEyeRX, LEyeRY, LEyeRZ, REyeRX, REyeRY, REyeRZ, LEyeConf, REyeConf
1 0.0157009 -1.019142 1.595574 -1.211914 358.3086 293.3333 355.4027 -1.032058 1.598209 -1.242054 358.3086 293.3333 355.4027 -1.006226 1.592938 -1.181775 358.3086 293.3333 355.4027 10.7165 277.9931 4.344642E-07 10.17727 274.0707 0 0.5 0.5
2 0.03112435 -1.020638 1.594892 -1.214949 358.3625 292.1291 355.1626 -1.032912 1.597665 -1.245343 358.3625 292.1291 355.1626 -1.008363 1.592119 -1.184554 358.3625 292.1291 355.1626 10.75671 279.1863 -4.34522E-07 10.2333 275.2614 4.337872E-07 0.5 0.5
3 0.04030825 -1.0216 1.594444 -1.217183 358.5539 291.1921 355.0233 -1.03338 1.597297 -1.247765 358.5539 291.1921 355.0233 -1.009821 1.591591 -1.1866 358.5539 291.1921 355.0233 10.8502 277.8835 -4.346573E-07 10.31188 273.9596 4.338951E-07 0.5 0.5
4 0.05603005 -1.022186 1.59484 -1.218663 358.7481 290.7081 354.9389 -1.033713 1.597742 -1.249337 358.7481 290.7081 354.9389 -1.010658 1.591939 -1.18799 358.7481 290.7081 354.9389 10.98502 278.6491 4.348547E-07 10.42739 274.4768 0 0.5 0.5
5 0.0703738 -1.02225 1.594835 -1.21868 358.5229 290.6789 355.4034 -1.033766 1.597471 -1.249382 358.5229 290.6789 355.4034 -1.010735 1.5922 -1.187978 358.5229 290.6789 355.4034 10.72268 278.4555 4.344731E-07 10.19853 274.3017 4.337399E-07 0.5 0.5
6 0.0866078 -1.022758 1.595522 -1.219241 358.1317 290.3748 355.5874 -1.034099 1.598052 -1.250016 358.1317 290.3748 355.5874 -1.011416 1.592992 -1.188465 358.1317 290.3748 355.5874 9.964775 279.5698 0 9.474861 275.4134 -4.32791E-07 0.5 0.5
7 0.1038205 -1.023487 1.595796 -1.220598 357.8633 290.0549 355.5062 -1.034643 1.598372 -1.251438 357.8633 290.0549 355.5062 -1.012331 1.593221 -1.189759 357.8633 290.0549 355.5062 9.842199 280.1992 4.332635E-07 9.34039 275.8318 0 0.5 0.5
8 0.1085208 -1.023722 1.595898 -1.221229 357.7762 289.873 355.5302 -1.034777 1.598459 -1.252106 357.7762 289.873 355.5302 -1.012667 1.593336 -1.190352 357.7762 289.873 355.5302 9.604344 279.7803 4.329554E-07 9.107115 275.4153 -8.646736E-07 0.5 0.5
9 0.1232608 -1.023625 1.596343 -1.22093 357.9399 289.8676 355.7623 -1.034692 1.598772 -1.251814 357.9399 289.8676 355.7623 -1.012558 1.593913 -1.190047 357.9399 289.8676 355.7623 9.706024 279.8772 -8.661723E-07 9.301032 276.152 0 0.5 0.5
10 0.1376328 -1.024136 1.596864 -1.220598 357.6982 289.9852 355.9007 -1.035262 1.599214 -1.251466 357.6982 289.9852 355.9007 -1.01301 1.594514 -1.189729 357.6982 289.9852 355.9007 8.645933 281.0956 0 8.230421 276.9316 0 0.5 0.5
11 0.156636 -1.025027 1.5976 -1.22048 357.284 289.9659 356.0461 -1.036132 1.599866 -1.251362 357.284 289.9659 356.0461 -1.013922 1.595335 -1.189598 357.284 289.9659 356.0461 8.427391 281.1852 0 8.016571 277.023 0 0.5 0.5
12 0.1708459 -1.024968 1.597992 -1.220244 357.3642 290.1033 356.0198 -1.036149 1.600273 -1.251097 357.3642 290.1033 356.0198 -1.013787 1.595711 -1.18939 357.3642 290.1033 356.0198 8.439885 281.1905 4.315605E-07 8.059827 277.2409 -4.311456E-07 0.5 0.5
13 0.1804641 -1.025168 1.598626 -1.219697 357.2326 290.2347 356.094 -1.036418 1.600865 -1.250529 357.2326 290.2347 356.094 -1.013919 1.596388 -1.188866 357.2326 290.2347 356.094 8.425883 281.287 4.315448E-07 8.046624 277.3374 -1.293394E-06 0.5 0.5
14 0.2054483 -1.025096 1.598858 -1.219144 357.0677 290.4832 356.1563 -1.036476 1.60106 -1.249931 357.0677 290.4832 356.1563 -1.013716 1.596655 -1.188358 357.0677 290.4832 356.1563 8.493481 281.9781 0 8.109424 277.8181 -4.311986E-07 0.5 0.5
15 0.2139488 -1.025211 1.599629 -1.217663 356.7268 290.9965 356.1036 -1.036852 1.601861 -1.24835 356.7268 290.9965 356.1036 -1.013571 1.597397 -1.186976 356.7268 290.9965 356.1036 10.12078 282.9423 -4.336344E-07 9.771708 279.2261 0 0.5 0.5
16 0.2280568 -1.025114 1.5995 -1.217107 356.6468 291.575 355.9137 -1.037053 1.60184 -1.247671 356.6468 291.575 355.9137 -1.013176 1.59716 -1.186543 356.6468 291.575 355.9137 9.74827 283.7323 1.299423E-06 9.389313 280.0212 4.326836E-07 0.5 0.5
17 0.2425306 -1.024754 1.599936 -1.21598 356.4453 292.3109 356.0687 -1.037084 1.602187 -1.246395 356.4453 292.3109 356.0687 -1.012424 1.597685 -1.185565 356.4453 292.3109 356.0687 10.21222 289.4373 -8.675169E-07 9.93437 285.9139 -8.667699E-07 0.5 0.5
