#Frame,Timer,HeadX,HeadY,HeadZ,HeadRX,HeadRY,HeadRZ,LHandX,LHandY,LHandZ,LHandRX,LHandRY,LHandRZ,RHandX,RHandY,RHandZ,RHandRX,RHandRY,RHandRZ,LEyeRX,LEyeRY,LEyeRZ,REyeRX,REyeRY,REyeRZ,LEyeConf,REyeConf
1.0,0.00286585,-1.432266,1.961298,0.4083936,15.65267,93.16669,358.7285,-1.430167,1.962031,0.4426185,15.65267,93.16669,358.7285,-1.434365,1.960565,0.3741687,15.65267,93.16669,358.7285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0202702,-1.433255,1.959416,0.4063682,15.78899,92.60558,358.4507,-1.431444,1.960308,0.4406059,15.78899,92.60558,358.4507,-1.435065,1.958524,0.3721306,15.78899,92.60558,358.4507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.03404095,-1.434311,1.958089,0.4000771,15.67534,92.04837,358.3181,-1.432814,1.959059,0.4343278,15.67534,92.04837,358.3181,-1.435808,1.95712,0.3658264,15.67534,92.04837,358.3181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0369079,-1.435749,1.956744,0.394112,15.59049,91.65719,358.4524,-1.434509,1.957636,0.428375,15.59049,91.65719,358.4524,-1.43699,1.955852,0.3598489,15.59049,91.65719,358.4524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.05329225,-1.435854,1.957237,0.3949343,15.69455,91.8176,358.5699,-1.434535,1.958061,0.4291961,15.69455,91.8176,358.5699,-1.437173,1.956413,0.3606725,15.69455,91.8176,358.5699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.06864,-1.437724,1.956613,0.3903461,16.07049,91.51188,358.7177,-1.436607,1.95735,0.4246171,16.07049,91.51188,358.7177,-1.438841,1.955875,0.3560752,16.07049,91.51188,358.7177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0728113,-1.439577,1.955669,0.3858317,16.31174,91.20766,358.9054,-1.43867,1.956298,0.4201111,16.31174,91.20766,358.9054,-1.440483,1.95504,0.3515524,16.31174,91.20766,358.9054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.08830795,-1.440432,1.955751,0.3841489,16.43949,91.18541,359.0746,-1.439566,1.956282,0.4184309,16.43949,91.18541,359.0746,-1.441298,1.95522,0.3498668,16.43949,91.18541,359.0746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.1018868,-1.442135,1.956466,0.3804508,16.55513,91.12228,359.3833,-1.441358,1.95682,0.4147373,16.55513,91.12228,359.3833,-1.442912,1.956112,0.3461643,16.55513,91.12228,359.3833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.1102006,-1.444798,1.957027,0.3753217,16.66047,90.90796,359.7491,-1.444211,1.957171,0.4096134,16.66047,90.90796,359.7491,-1.445384,1.956883,0.3410299,16.66047,90.90796,359.7491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.1272786,-1.445521,1.957392,0.3741515,16.43015,90.88565,359.7941,-1.444956,1.95751,0.4084437,16.43015,90.88565,359.7941,-1.446086,1.957274,0.3398592,16.43015,90.88565,359.7941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.1418341,-1.445959,1.958181,0.3715435,15.94349,90.74593,0.04254337,-1.44552,1.958156,0.4058378,15.94349,90.74593,0.04254337,-1.446399,1.958205,0.3372492,15.94349,90.74593,0.04254337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.1615967,-1.44646,1.958606,0.3681132,15.38318,90.52435,0.2773542,-1.44619,1.958446,0.4024089,15.38318,90.52435,0.2773542,-1.44673,1.958766,0.3338176,15.38318,90.52435,0.2773542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.1749966,-1.446217,1.958109,0.366619,15.35675,90.37003,0.3312025,-1.446048,1.957917,0.4009151,15.35675,90.37003,0.3312025,-1.446386,1.9583,0.3323228,15.35675,90.37003,0.3312025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.184133,-1.446188,1.957509,0.3643259,15.28615,90.08834,0.4891732,-1.446213,1.957226,0.3986219,15.28615,90.08834,0.4891732,-1.446164,1.957791,0.33003,15.28615,90.08834,0.4891732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.2104338,-1.445205,1.95778,0.3648876,15.55367,89.9822,0.549302,-1.445304,1.957463,0.3991831,15.55367,89.9822,0.549302,-1.445107,1.958096,0.3305921,15.55367,89.9822,0.549302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.2185744,-1.44221,1.956956,0.3626531,15.48409,89.43633,0.9539182,-1.4427,1.956405,0.3969423,15.48409,89.43633,0.9539182,-1.44172,1.957506,0.3283639,15.48409,89.43633,0.9539182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.2318495,-1.440575,1.956762,0.3630798,15.49161,89.27811,1.089317,-1.441182,1.956134,0.3973657,15.49161,89.27811,1.089317,-1.439969,1.957391,0.3287938,15.49161,89.27811,1.089317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.2561168,-1.438088,1.956393,0.3641888,15.58335,88.9115,1.07369,-1.438913,1.955774,0.3984704,15.58335,88.9115,1.07369,-1.437264,1.957012,0.3299072,15.58335,88.9115,1.07369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.2629773,-1.429548,1.955359,0.3660716,15.78076,87.96947,1.426724,-1.430995,1.954538,0.4003283,15.78076,87.96947,1.426724,-1.428101,1.956181,0.3318149,15.78076,87.96947,1.426724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.2798406,-1.426103,1.954598,0.3671992,16.03175,87.7422,1.528034,-1.427706,1.953719,0.4014475,16.03175,87.7422,1.528034,-1.4245,1.955477,0.3329509,16.03175,87.7422,1.528034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.2947697,-1.419433,1.953504,0.369495,16.54767,87.44791,1.584186,-1.42123,1.952595,0.4037329,16.54767,87.44791,1.584186,-1.417637,1.954413,0.335257,16.54767,87.44791,1.584186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.3141029,-1.412716,1.952252,0.3718263,16.93938,87.14845,1.839208,-1.414742,1.951199,0.4060473,16.93938,87.14845,1.839208,-1.41069,1.953305,0.3376053,16.93938,87.14845,1.839208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.3275177,-1.404498,1.950757,0.3745357,17.24865,86.82513,1.980227,-1.406748,1.949625,0.4087403,17.24865,86.82513,1.980227,-1.402249,1.951889,0.3403312,17.24865,86.82513,1.980227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.3424387,-1.395087,1.948989,0.3778544,17.60832,86.60359,1.948294,-1.39747,1.947878,0.4120505,17.60832,86.60359,1.948294,-1.392704,1.950101,0.3436582,17.60832,86.60359,1.948294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.3610058,-1.380102,1.946575,0.3834312,18.293,86.3278,1.794081,-1.382634,1.945556,0.4176195,18.293,86.3278,1.794081,-1.37757,1.947595,0.3492429,18.293,86.3278,1.794081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0.3806676,-1.36854,1.944541,0.3881738,18.59829,86.3027,1.614246,-1.371058,1.943626,0.4223661,18.59829,86.3027,1.614246,-1.366021,1.945457,0.3539816,18.59829,86.3027,1.614246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.3879868,-1.351567,1.941666,0.3952959,19.1357,86.21571,1.488176,-1.354121,1.940825,0.4294874,19.1357,86.21571,1.488176,-1.349013,1.942508,0.3611045,19.1357,86.21571,1.488176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,0.4148594,-1.344257,1.940212,0.3988485,19.20161,86.46275,1.56711,-1.34668,1.939326,0.4330484,19.20161,86.46275,1.56711,-1.341834,1.941097,0.3646486,19.20161,86.46275,1.56711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.4316556,-1.319061,1.935402,0.4104974,19.78062,86.86028,1.560393,-1.321254,1.934523,0.444713,19.78062,86.86028,1.560393,-1.316867,1.936281,0.3762818,19.78062,86.86028,1.560393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,0.4361441,-1.306171,1.932966,0.4166964,20.09493,87.22942,1.567247,-1.30815,1.932085,0.450925,20.09493,87.22942,1.567247,-1.304192,1.933847,0.3824678,20.09493,87.22942,1.567247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,0.4610361,-1.298689,1.931435,0.4203932,20.05094,88.15437,1.554993,-1.300112,1.93056,0.4546496,20.05094,88.15437,1.554993,-1.297266,1.932309,0.3861368,20.05094,88.15437,1.554993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,0.4794945,-1.273315,1.925945,0.4331501,20.53996,90.11565,1.26643,-1.273512,1.925235,0.4674393,20.53996,90.11565,1.26643,-1.273118,1.926655,0.398861,20.53996,90.11565,1.26643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,0.4883574,-1.255034,1.922065,0.4421656,21.03479,91.77354,1.185049,-1.254228,1.921403,0.4764467,21.03479,91.77354,1.185049,-1.255841,1.922727,0.4078844,21.03479,91.77354,1.185049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
