#Frame,Timer,HeadX,HeadY,HeadZ,HeadRX,HeadRY,HeadRZ,LHandX,LHandY,LHandZ,LHandRX,LHandRY,LHandRZ,RHandX,RHandY,RHandZ,RHandRX,RHandRY,RHandRZ,LEyeRX,LEyeRY,LEyeRZ,REyeRX,REyeRY,REyeRZ,LEyeConf,REyeConf
1.0,0.00738075,-0.7573785,1.500924,-0.3057501,354.0098,79.21211,2.449988,-0.7635763,1.499481,-0.2724138,354.0098,79.21211,2.449988,-0.7511806,1.502367,-0.3390863,354.0098,79.21211,2.449988,351.8821,85.03352,0.0,351.9829,81.91055,0.0,0.5,0.5
2.0,0.0166732,-0.7596126,1.501635,-0.3050057,353.7727,78.72081,2.502371,-0.7660866,1.500162,-0.2717234,353.7727,78.72081,2.502371,-0.7531386,1.503108,-0.3382881,353.7727,78.72081,2.502371,351.6303,84.52454,0.0,351.7332,81.39966,0.0,0.5,0.5
3.0,0.0223133,-0.7618752,1.502186,-0.3043504,353.5593,78.23068,2.534494,-0.768626,1.500695,-0.2711239,353.5593,78.23068,2.534494,-0.7551244,1.503677,-0.3375769,353.5593,78.23068,2.534494,352.697,84.75906,0.0,352.8014,81.64121,4.302783e-07,0.5,0.5
4.0,0.03042425,-0.7641826,1.502801,-0.3038749,353.3627,77.7629,2.517193,-0.7712008,1.50132,-0.2707034,353.3627,77.7629,2.517193,-0.7571645,1.504281,-0.3370465,353.3627,77.7629,2.517193,352.482,84.28764,-4.305883e-07,352.5867,81.16828,0.0,0.5,0.5
5.0,0.0367712,-0.7664202,1.503364,-0.3034053,353.1552,77.33116,2.488902,-0.773685,1.501901,-0.2702861,353.1552,77.33115,2.488903,-0.7591554,1.504828,-0.3365245,353.1552,77.33115,2.488903,352.2755,83.82573,-4.307959e-07,352.3784,80.7048,8.613834e-07,0.5,0.5
6.0,0.04338935,-0.7686281,1.504016,-0.3031491,352.9529,76.90826,2.428217,-0.7761367,1.502589,-0.2700828,352.9529,76.90826,2.428217,-0.7611194,1.505443,-0.3362154,352.9529,76.90826,2.428217,352.0591,84.0722,4.310198e-07,352.1781,80.26909,0.0,0.5,0.5
7.0,0.04995785,-0.7707835,1.504548,-0.3029552,352.7413,76.52818,2.379394,-0.7785101,1.50315,-0.2699379,352.7413,76.52818,2.379394,-0.763057,1.505946,-0.3359725,352.7413,76.52818,2.379394,351.8592,83.66387,-4.312323e-07,351.9734,79.85873,0.0,0.5,0.5
8.0,0.06080035,-0.772912,1.505002,-0.302916,352.5284,76.17081,2.315095,-0.7808444,1.503642,-0.2699459,352.5284,76.17081,2.315095,-0.7649795,1.506361,-0.3358861,352.5284,76.17081,2.315095,351.6479,83.28655,0.0,351.7584,79.47779,-4.313416e-07,0.5,0.5
9.0,0.06357925,-0.7750667,1.505433,-0.3028988,352.3303,75.80357,2.280984,-0.7832086,1.504094,-0.2699789,352.3303,75.80357,2.280984,-0.7669249,1.506772,-0.3358186,352.3303,75.80357,2.280984,351.4437,82.92087,0.0,351.5491,79.10993,8.631455e-07,0.5,0.5
10.0,0.07013185,-0.777198,1.505885,-0.3030503,352.189,75.45522,2.200826,-0.7855433,1.504593,-0.2701796,352.189,75.45522,2.200826,-0.7688526,1.507176,-0.335921,352.189,75.45522,2.200826,344.8234,80.32654,-8.846262e-07,344.9027,77.14778,0.0,0.5,0.5
