#Frame,Timer,HeadX,HeadY,HeadZ,HeadRX,HeadRY,HeadRZ,LHandX,LHandY,LHandZ,LHandRX,LHandRY,LHandRZ,RHandX,RHandY,RHandZ,RHandRX,RHandRY,RHandRZ,LEyeRX,LEyeRY,LEyeRZ,REyeRX,REyeRY,REyeRZ,LEyeConf,REyeConf
1.0,0.0075454,-0.3292088,1.558349,-0.2433977,351.1957,301.6054,358.3214,-0.3469477,1.559336,-0.2725177,351.1957,301.6054,358.3214,-0.3114699,1.557361,-0.2142777,351.1957,301.6054,358.3214,358.2791,296.2949,5.338493e-08,358.1812,292.5538,2.13551e-07,0.5,0.5
2.0,0.02078615,-0.3294098,1.558226,-0.2436901,351.2115,301.2962,358.3483,-0.3469939,1.559197,-0.2729044,351.2115,301.2962,358.3483,-0.3118257,1.557254,-0.2144758,351.2115,301.2962,358.3483,358.2719,295.9937,-5.338513e-08,358.1786,292.2525,-5.338783e-08,0.5,0.5
3.0,0.02367505,-0.3295757,1.558143,-0.2439365,351.2507,301.0108,358.325,-0.3470126,1.559128,-0.2732384,351.2507,301.0108,358.325,-0.3121388,1.557157,-0.2146346,351.2507,301.0108,358.325,358.289,296.1556,-5.338466e-08,358.2007,292.6375,-2.135487e-07,0.5,0.5
4.0,0.03052305,-0.3297262,1.558031,-0.244218,351.3685,300.71,358.309,-0.3470094,1.559026,-0.2736105,351.3685,300.71,358.309,-0.312443,1.557036,-0.2148255,351.3685,300.71,358.309,358.3506,295.8519,0.0,358.2592,292.334,-5.338549e-08,0.5,0.5
5.0,0.0367521,-0.3298517,1.557897,-0.2444706,351.4437,300.4041,358.2816,-0.3469765,1.558909,-0.2739551,351.4437,300.4041,358.2816,-0.3127269,1.556886,-0.2149861,351.4437,300.4041,358.2816,358.4492,295.5567,5.33804e-08,358.3571,292.039,5.338279e-08,0.5,0.5
6.0,0.0435628,-0.3299377,1.557683,-0.2447452,351.5571,300.1101,358.2378,-0.346909,1.55872,-0.2743174,351.5571,300.1101,358.2378,-0.3129663,1.556645,-0.215173,351.5571,300.1101,358.2378,358.3333,295.7093,0.0,358.2451,292.4133,-1.067718e-07,0.5,0.5
7.0,0.05030674,-0.33011,1.557425,-0.245061,351.6832,299.8012,358.1479,-0.3469161,1.558516,-0.2747256,351.6832,299.8012,358.1479,-0.3133039,1.556334,-0.2153965,351.6832,299.8012,358.1479,358.4456,295.3993,0.0,358.3542,292.1035,5.338287e-08,0.5,0.5
8.0,0.05699635,-0.3303502,1.557131,-0.2454621,351.8095,299.5066,358.0655,-0.3469988,1.558271,-0.2752135,351.8095,299.5066,358.0655,-0.3137016,1.555991,-0.2157107,351.8095,299.5066,358.0655,358.3346,295.3033,1.601502e-07,358.2379,292.0061,0.0,0.5,0.5
9.0,0.06346709,-0.3305313,1.557205,-0.2455652,351.8645,299.2231,357.9988,-0.3470279,1.558384,-0.2753996,351.8645,299.2231,357.9988,-0.3140348,1.556026,-0.2157308,351.8645,299.2231,357.9988,358.4415,295.0052,0.0,358.3391,291.7083,-5.338328e-08,0.5,0.5
10.0,0.07062384,-0.3306636,1.556998,-0.2457829,351.8334,298.9296,358.0415,-0.3470101,1.558152,-0.2757008,351.8334,298.9296,358.0415,-0.3143171,1.555844,-0.215865,351.8334,298.9296,358.0415,358.4645,295.3889,-5.338002e-08,358.3524,291.8697,5.338292e-08,0.5,0.5
