#Frame,Timer,HeadX,HeadY,HeadZ,HeadRX,HeadRY,HeadRZ,LHandX,LHandY,LHandZ,LHandRX,LHandRY,LHandRZ,RHandX,RHandY,RHandZ,RHandRX,RHandRY,RHandRZ,LEyeRX,LEyeRY,LEyeRZ,REyeRX,REyeRY,REyeRZ,LEyeConf,REyeConf
1.0,0.0069769,-0.4399703,1.602285,-0.9171354,32.9055,24.53101,357.5944,-0.4703341,1.603475,-0.9024318,32.9055,24.53101,357.5944,-0.4096065,1.601096,-0.9318389,32.9055,24.53101,357.5944,56.09526,27.94096,0.0,55.97466,21.7502,0.0,0.5,0.5
2.0,0.01620965,-0.4390962,1.601715,-0.916084,33.15343,24.2396,357.3786,-0.4694987,1.603007,-0.9014693,33.15343,24.2396,357.3786,-0.4086937,1.600422,-0.9306986,33.15343,24.2396,357.3786,56.38303,27.55151,0.0,56.24128,21.31729,-1.536402e-06,0.5,0.5
3.0,0.0224127,-0.438326,1.601173,-0.9149718,33.3138,23.96213,357.186,-0.4687672,1.602558,-0.9004465,33.3138,23.96213,357.186,-0.4078847,1.599788,-0.9294971,33.3138,23.96213,357.186,55.25855,27.22347,0.0,55.10488,21.12219,0.0,0.5,0.5
4.0,0.02874205,-0.4376338,1.600571,-0.913846,33.37298,23.71924,356.9759,-0.4681026,1.602058,-0.8993888,33.37298,23.71924,356.9759,-0.4071649,1.599083,-0.9283031,33.37298,23.71924,356.9759,55.40017,26.8642,-1.503543e-06,55.2308,20.74361,1.497134e-06,0.5,0.5
5.0,0.03539495,-0.4370133,1.600056,-0.9126745,33.326,23.47674,356.732,-0.4675049,1.601664,-0.8982785,33.326,23.47674,356.732,-0.4065217,1.598449,-0.9270706,33.326,23.47674,356.732,55.01158,26.44762,1.488939e-06,54.84047,20.71497,0.0,0.5,0.5
6.0,0.04259795,-0.4364604,1.599441,-0.9116115,33.25288,23.2103,356.476,-0.4669787,1.601176,-0.8972869,33.25288,23.2103,356.476,-0.4059421,1.597705,-0.9259361,33.25288,23.2103,356.476,54.97036,26.05582,0.0,54.78092,20.33209,0.0,0.5,0.5
7.0,0.0491094,-0.4361671,1.598614,-0.910763,33.18875,22.96175,356.2372,-0.4667098,1.600468,-0.8965054,33.18875,22.96175,356.2372,-0.4056244,1.596761,-0.9250206,33.18875,22.96175,356.2372,54.90817,25.62524,-1.485112e-06,54.69842,19.91389,-2.954847e-06,0.5,0.5
8.0,0.0563428,-0.4359697,1.597528,-0.9102119,33.21648,22.66219,355.9849,-0.4665455,1.599505,-0.8960422,33.21648,22.66219,355.9849,-0.4053938,1.59555,-0.9243815,33.21648,22.66219,355.9849,54.41394,25.23093,-1.467153e-06,54.22832,20.2903,0.0,0.5,0.5
9.0,0.0632802,-0.4362721,1.596251,-0.9098408,33.28157,22.45542,355.6919,-0.4668503,1.598371,-0.895697,33.28157,22.45542,355.6919,-0.4056938,1.594131,-0.9239846,33.28157,22.45542,355.6919,54.45155,24.77302,1.468501e-06,54.24602,19.83138,2.92235e-06,0.5,0.5
10.0,0.07187895,-0.436885,1.594947,-0.9096088,33.41302,22.2984,355.3338,-0.4674409,1.59724,-0.8954435,33.41302,22.2984,355.3338,-0.4063292,1.592655,-0.9237742,33.41302,22.2984,355.3338,54.42339,25.28113,0.0,54.18468,19.61957,0.0,0.5,0.5
