#Frame,Timer,HeadX,HeadY,HeadZ,HeadRX,HeadRY,HeadRZ,LHandX,LHandY,LHandZ,LHandRX,LHandRY,LHandRZ,RHandX,RHandY,RHandZ,RHandRX,RHandRY,RHandRZ,LEyeRX,LEyeRY,LEyeRZ,REyeRX,REyeRY,REyeRZ,LEyeConf,REyeConf
1.0,0.00765275,0.473131,1.330562,0.08678422,53.64205,236.544,1.549536,0.4925568,1.330015,0.05873392,53.64205,236.544,1.549536,0.4537051,1.331109,0.1148345,53.64205,236.544,1.549536,69.03243,258.9013,-9.543654e-06,70.18031,248.6206,1.00722e-05,0.5,0.5
2.0,0.0170665,0.4732209,1.330598,0.08678381,53.63835,236.5141,1.499093,0.4926416,1.330069,0.05872961,53.63835,236.5141,1.499093,0.4538002,1.331128,0.114838,53.63835,236.5141,1.499093,67.75838,259.8113,0.0,68.98895,249.9167,-9.524785e-06,0.5,0.5
3.0,0.02631575,0.47357,1.330787,0.08714985,53.55244,236.5118,1.426827,0.4929629,1.330282,0.059076,53.55244,236.5118,1.426827,0.454177,1.331292,0.1152237,53.55244,236.5118,1.426827,67.78971,259.7715,-1.35517e-05,69.01335,249.8584,4.767679e-06,0.5,0.5
4.0,0.03173615,0.4743756,1.331166,0.08785304,53.43707,236.5896,1.298879,0.4936795,1.330705,0.0597171,53.43707,236.5896,1.298879,0.4550717,1.331626,0.115989,53.43707,236.5896,1.298879,67.71041,259.9377,0.0,68.94978,249.9421,-4.753929e-06,0.5,0.5
5.0,0.04096715,0.4746077,1.331241,0.08822978,53.46122,236.7086,1.254521,0.4938359,1.330796,0.06004178,53.46122,236.7086,1.254521,0.4553796,1.331686,0.1164178,53.46122,236.7086,1.254521,67.64607,259.9084,1.346904e-05,68.87074,249.9311,-9.47392e-06,0.5,0.5
6.0,0.04880445,0.475039,1.331494,0.08895629,53.36895,236.8101,1.167083,0.4941822,1.33108,0.06071009,53.36895,236.8101,1.167083,0.4558958,1.331909,0.1172025,53.36895,236.8101,1.167083,69.06427,264.4069,0.0,70.46192,254.8282,5.105794e-06,0.5,0.5
7.0,0.0591406,0.47547,1.331481,0.08906258,53.34784,237.0017,1.12706,0.4945027,1.331081,0.06074161,53.34784,237.0017,1.12706,0.4564373,1.331882,0.1173835,53.34784,237.0017,1.12706,69.02294,264.4883,9.539522e-06,70.40915,254.9171,5.092579e-06,0.5,0.5
8.0,0.0633105,0.4758989,1.331459,0.08929387,53.31513,237.2001,1.124356,0.4948322,1.331059,0.06090634,53.31513,237.2001,1.124356,0.4569656,1.331859,0.1176814,53.31513,237.2001,1.124356,69.18434,267.473,4.805084e-06,70.80077,257.4265,5.192418e-06,0.5,0.5
9.0,0.07232365,0.4763359,1.331279,0.08959442,53.32613,237.3814,1.162631,0.4951945,1.330866,0.06115737,53.32613,237.3814,1.162631,0.4574773,1.331693,0.1180315,53.32613,237.3814,1.162631,69.18399,267.7204,9.610016e-06,70.80416,257.6783,5.1933e-06,0.5,0.5
10.0,0.07639465,0.4767093,1.331209,0.08985527,53.37457,237.5903,1.232588,0.4954922,1.330771,0.06136851,53.37457,237.5903,1.232588,0.4579265,1.331647,0.118342,53.37457,237.5903,1.232588,69.14635,267.9299,-4.79672e-06,70.55951,259.5589,0.0,0.5,0.5
11.0,0.09609355,0.4767483,1.331253,0.08969445,53.48498,237.786,1.431079,0.4955133,1.330746,0.0611971,53.48498,237.786,1.431079,0.4579833,1.33176,0.1181918,53.48498,237.786,1.431079,69.202,268.5681,-4.808981e-06,70.62681,260.3034,0.0,0.5,0.5
12.0,0.1090301,0.4784843,1.331046,0.09005679,53.44989,238.6927,1.688562,0.4968989,1.330447,0.06133349,53.44989,238.6927,1.688562,0.4600698,1.331645,0.1187801,53.44989,238.6927,1.688562,69.00406,268.2922,0.0,70.41161,260.1125,-5.093191e-06,0.5,0.5
13.0,0.122988,0.4791776,1.331143,0.08984336,53.45938,238.9797,1.811505,0.4974973,1.3305,0.06106042,53.45938,238.9797,1.811505,0.4608578,1.331785,0.1186263,53.45938,238.9797,1.811505,69.02218,268.7513,0.0,70.49916,259.9839,0.0,0.5,0.5
14.0,0.1367469,0.4800609,1.331372,0.08925007,53.48872,239.1893,1.832109,0.4982837,1.330723,0.06040586,53.48872,239.1893,1.832112,0.461838,1.332021,0.1180943,53.48872,239.1893,1.832112,68.99901,269.1078,-4.764569e-06,70.48521,260.3611,-5.111648e-06,0.5,0.5
15.0,0.1493784,0.4804982,1.331568,0.08883992,53.45889,239.2228,1.786998,0.4986858,1.330935,0.05997313,53.45889,239.2228,1.786998,0.4623106,1.332202,0.1177067,53.45889,239.2228,1.786998,69.10068,268.7323,-4.786706e-06,70.55733,259.9068,-1.025974e-05,0.5,0.5
16.0,0.1567862,0.4808198,1.331724,0.08845016,53.40715,239.2378,1.751644,0.4989851,1.331102,0.05956913,53.40715,239.2378,1.751644,0.4626544,1.332346,0.1173312,53.40715,239.2378,1.751644,69.06644,268.7225,0.0,70.51935,259.907,2.048101e-05,0.5,0.5
17.0,0.165875,0.4812353,1.331903,0.08808573,53.33232,239.2906,1.780671,0.499385,1.331269,0.05919506,53.33232,239.2906,1.780671,0.4630856,1.332536,0.1169764,53.33232,239.2906,1.780671,68.71929,267.6051,0.0,70.11529,258.8448,-1.004059e-05,0.5,0.5
18.0,0.1752206,0.4816585,1.332021,0.08758548,53.23462,239.27,1.806387,0.4998279,1.331377,0.05870749,53.23462,239.27,1.806387,0.4634891,1.332665,0.1164635,53.23462,239.27,1.806387,68.65761,267.5261,-9.383657e-06,70.04881,258.7857,0.0,0.5,0.5
19.0,0.1839938,0.4825292,1.332271,0.08670052,53.12301,239.3585,1.839126,0.5006661,1.331614,0.05780235,53.12301,239.3585,1.839126,0.4643924,1.332928,0.1155987,53.12301,239.3585,1.839126,68.8613,266.0554,9.469887e-06,70.11108,257.6863,0.0,0.5,0.5
20.0,0.1931258,0.4830555,1.332404,0.08616756,53.043,239.3854,1.869349,0.5011901,1.331735,0.0572682,53.043,239.3854,1.869349,0.464921,1.333073,0.1150669,53.043,239.3854,1.869349,68.74435,266.0008,4.710084e-06,69.98944,257.6725,-4.99e-06,0.5,0.5
21.0,0.1985694,0.4835832,1.33254,0.08564983,52.9702,239.4296,1.897506,0.501706,1.33186,0.05674337,52.9702,239.4296,1.897506,0.4654604,1.333221,0.1145563,52.9702,239.4296,1.897506,68.27502,265.4633,0.0,69.49519,257.2773,-4.874722e-06,0.5,0.5
22.0,0.2078787,0.4840118,1.332564,0.08511829,52.87727,239.4554,1.933003,0.5021347,1.33187,0.05621225,52.87727,239.4554,1.933003,0.4658888,1.333259,0.1140243,52.87727,239.4554,1.933003,68.19804,265.4186,0.0,69.41599,257.259,4.856778e-06,0.5,0.5
23.0,0.2167582,0.4849789,1.332653,0.08395443,52.74687,239.5876,2.011216,0.5030649,1.331928,0.05502602,52.74687,239.5876,2.011216,0.466893,1.333378,0.1128828,52.74687,239.5876,2.011216,68.95195,266.2749,9.508806e-06,70.19645,257.9778,-1.512012e-05,0.5,0.5
24.0,0.2260968,0.4855428,1.332702,0.08338591,52.70898,239.6509,2.03956,0.5036077,1.331966,0.05444459,52.70898,239.6509,2.03956,0.4674779,1.333437,0.1123272,52.70898,239.6509,2.03956,68.84035,266.288,0.0,70.08326,258.0325,-5.012548e-06,0.5,0.5
25.0,0.2305732,0.4861257,1.332638,0.08274683,52.67609,239.7974,2.104608,0.504142,1.331878,0.05377588,52.67609,239.7974,2.104608,0.4681094,1.333397,0.1117178,52.67609,239.7974,2.104608,68.35729,268.5292,0.0,69.79007,259.9859,0.0,0.5,0.5
26.0,0.2395831,0.4866209,1.332524,0.08222704,52.67035,239.9264,2.210474,0.5046141,1.331725,0.05324274,52.67035,239.9264,2.210474,0.4686277,1.333322,0.1112113,52.67035,239.9264,2.210474,68.33544,268.7166,0.0,69.77457,260.189,1.481755e-05,0.5,0.5
27.0,0.2437272,0.4871214,1.332455,0.0817479,52.66169,240.0363,2.316655,0.5051011,1.331619,0.05275633,52.66169,240.0363,2.316655,0.4691417,1.333292,0.1107395,52.66169,240.0363,2.316655,69.38161,270.9978,4.84903e-06,70.92598,262.2491,0.0,0.5,0.5
28.0,0.2529555,0.4877195,1.33245,0.08105882,52.72707,240.2475,2.461337,0.5056508,1.331563,0.05203877,52.72707,240.2475,2.461337,0.4697882,1.333338,0.1100789,52.72707,240.2475,2.461337,69.36131,271.267,-4.844467e-06,70.91868,262.5441,-1.044658e-05,0.5,0.5
29.0,0.2571512,0.488185,1.332534,0.08049186,52.77714,240.3828,2.523675,0.5060732,1.331625,0.05144593,52.77714,240.3828,2.523675,0.4702967,1.333443,0.1095378,52.77714,240.3828,2.523675,69.35467,271.4905,0.0,70.92023,262.7815,-5.223701e-06,0.5,0.5
30.0,0.2638476,0.4886591,1.332553,0.07972147,52.7868,240.5582,2.614094,0.5064946,1.331612,0.05064414,52.7868,240.5582,2.614094,0.4708237,1.333495,0.1087988,52.7868,240.5582,2.614094,70.98434,275.2641,0.0,72.51698,267.4549,-5.683809e-06,0.5,0.5
31.0,0.2740011,0.4885542,1.332685,0.07963702,52.77142,240.6314,2.62672,0.5063573,1.331739,0.05054004,52.77142,240.6314,2.62672,0.470751,1.333631,0.108734,52.77142,240.6314,2.62672,70.92888,275.5082,1.045197e-05,72.4674,267.7323,0.0,0.5,0.5
32.0,0.2781456,0.4888313,1.332897,0.0789134,52.68247,240.8903,2.75332,0.5065522,1.331903,0.04976778,52.68247,240.8903,2.75332,0.4711105,1.33389,0.108059,52.68247,240.8903,2.75332,70.78159,275.9674,-5.187428e-06,72.33538,268.3044,-1.12544e-05,0.5,0.5
