#Frame,Timer,HeadX,HeadY,HeadZ,HeadRX,HeadRY,HeadRZ,LHandX,LHandY,LHandZ,LHandRX,LHandRY,LHandRZ,RHandX,RHandY,RHandZ,RHandRX,RHandRY,RHandRZ,LEyeRX,LEyeRY,LEyeRZ,REyeRX,REyeRY,REyeRZ,LEyeConf,REyeConf
1.0,0.0074457,0.2136941,1.514416,-0.07202214,9.712547,324.1593,2.571432,0.1862102,1.512907,-0.09219243,9.712547,324.1593,2.571432,0.2411779,1.515925,-0.05185185,9.712547,324.1593,2.571432,38.3297,325.4926,0.0,38.41127,322.7944,-2.179186e-06,0.5,0.5
2.0,0.01702255,0.2130008,1.51349,-0.07198195,10.10025,324.1513,2.534454,0.1855227,1.512005,-0.09216182,10.10025,324.1513,2.534454,0.2404789,1.514976,-0.05180208,10.10025,324.1513,2.534454,38.75097,325.4573,-2.189517e-06,38.83052,322.7432,-2.191962e-06,0.5,0.5
3.0,0.0224892,0.2123757,1.512604,-0.07187931,10.48116,324.1544,2.464943,0.1848964,1.51116,-0.09206066,10.48116,324.1544,2.464943,0.239855,1.514047,-0.05169797,10.48116,324.1544,2.464943,39.11974,325.4301,0.0,39.19838,322.7017,1.101697e-06,0.5,0.5
4.0,0.0303528,0.2117493,1.511649,-0.07177114,10.86561,324.16,2.421341,0.1842699,1.510234,-0.09195431,10.86561,324.16,2.421341,0.2392287,1.513065,-0.05158797,10.86561,324.16,2.421341,39.48536,325.6634,0.0,39.56716,322.9209,-3.3226e-06,0.5,0.5
5.0,0.03700255,0.2111205,1.510599,-0.07156508,11.26101,324.1726,2.410633,0.1836414,1.509192,-0.09174927,11.26101,324.1726,2.410633,0.2385996,1.512007,-0.0513809,11.26101,324.1726,2.410633,39.85778,325.6734,-1.112209e-06,39.93878,322.9161,1.113524e-06,0.5,0.5
6.0,0.0435374,0.2105077,1.509391,-0.07147811,11.67122,324.2038,2.435521,0.1830258,1.507971,-0.09165755,11.67122,324.2038,2.435521,0.2379896,1.510811,-0.05129866,11.67122,324.2038,2.435521,40.21428,326.7223,1.118039e-06,40.31973,323.9517,0.0,0.5,0.5
7.0,0.0500428,0.2100012,1.508157,-0.0714179,12.14224,324.2291,2.446431,0.1825182,1.506733,-0.09159566,12.14224,324.2291,2.446431,0.2374841,1.509581,-0.05124014,12.14224,324.2291,2.446431,40.64341,326.7834,1.125196e-06,40.75062,323.9951,1.127008e-06,0.5,0.5
8.0,0.05710035,0.2093883,1.506991,-0.07158893,12.70428,324.3194,2.461621,0.1818832,1.505561,-0.09173604,12.70428,324.3194,2.461621,0.2368934,1.508421,-0.05144183,12.70428,324.3194,2.461621,41.08879,327.9016,0.0,41.24719,324.3123,-1.13553e-06,0.5,0.5
9.0,0.06379595,0.2087828,1.505964,-0.07149768,13.21812,324.3727,2.514826,0.1812718,1.504506,-0.09163472,13.21812,324.3727,2.514826,0.2362939,1.507422,-0.05136064,13.21812,324.3727,2.514826,41.62046,328.0107,1.142079e-06,41.78186,324.3921,-1.144949e-06,0.5,0.5
10.0,0.07040811,0.2081226,1.505065,-0.07146373,13.66601,324.4545,2.610516,0.1805993,1.503555,-0.09158017,13.66601,324.4545,2.610516,0.2356459,1.506575,-0.05134729,13.66601,324.4545,2.610516,42.10006,328.1348,3.452031e-06,42.26557,324.489,0.0,0.5,0.5
11.0,0.07711636,0.2074235,1.504214,-0.07124136,14.0782,324.5053,2.717601,0.1799002,1.502645,-0.09135313,14.0782,324.5053,2.717601,0.2349469,1.505783,-0.0511296,14.0782,324.5053,2.717601,42.49855,328.841,0.0,42.68885,325.1734,1.161523e-06,0.5,0.5
12.0,0.08417626,0.206761,1.503288,-0.0711299,14.45336,324.5916,2.86779,0.1792298,1.501634,-0.09122423,14.45336,324.5916,2.86779,0.2342922,1.504941,-0.05103556,14.45336,324.5916,2.86779,42.87354,329.0068,-1.164993e-06,43.07259,325.3175,2.33754e-06,0.5,0.5
13.0,0.09071561,0.2061142,1.502305,-0.07108254,14.84388,324.669,2.973726,0.1785744,1.500594,-0.09116013,14.84388,324.669,2.973726,0.2336541,1.504016,-0.05100495,14.84388,324.669,2.973726,43.24974,329.176,0.0,43.45657,325.4644,0.0,0.5,0.5
14.0,0.09773476,0.2055063,1.501306,-0.07109682,15.23778,324.7769,3.084484,0.1779483,1.499534,-0.09114425,15.23778,324.7769,3.084484,0.2330643,1.503078,-0.0510494,15.23778,324.7769,3.084484,43.62522,329.3678,-1.17946e-06,43.83997,325.6337,-1.183697e-06,0.5,0.5
15.0,0.1042761,0.2050594,1.50036,-0.07115047,15.65539,324.8893,3.200147,0.1774833,1.498526,-0.09116738,15.65539,324.8893,3.200147,0.2326355,1.502194,-0.05113356,15.65539,324.8893,3.200147,44.03764,329.5677,0.0,44.26068,325.8082,-2.38427e-06,0.5,0.5
16.0,0.1113293,0.2046027,1.499646,-0.07119452,16.06527,325.0338,3.288994,0.1769946,1.497764,-0.09116281,16.06527,325.0338,3.288994,0.2322109,1.501527,-0.05122624,16.06527,325.0338,3.288994,44.45704,329.7886,-2.392274e-06,44.68822,326.0028,-1.200901e-06,0.5,0.5
17.0,0.1182562,0.2040109,1.49908,-0.07107247,16.38092,325.1772,3.392531,0.1763717,1.497143,-0.09099232,16.38092,325.1772,3.392531,0.2316502,1.501018,-0.05115263,16.38092,325.1772,3.392531,44.8381,330.0435,-1.204021e-06,45.07689,326.2334,1.209042e-06,0.5,0.5
