#Frame,Timer,HeadX,HeadY,HeadZ,HeadRX,HeadRY,HeadRZ,LHandX,LHandY,LHandZ,LHandRX,LHandRY,LHandRZ,RHandX,RHandY,RHandZ,RHandRX,RHandRY,RHandRZ,LEyeRX,LEyeRY,LEyeRZ,REyeRX,REyeRY,REyeRZ,LEyeConf,REyeConf
1.0,0.1666667,0.8876686,1.497215,0.6926973,6.357751,209.2609,1.372739,0.9169167,1.496418,0.6764121,6.357751,209.2609,1.372739,0.8584204,1.498013,0.7089825,6.357751,209.2609,1.372739,13.41544,212.9528,-8.777238e-07,13.54299,210.0061,4.390961e-07,0.5,0.5
2.0,0.3333333,0.8743159,1.495272,0.7016135,6.883991,217.7858,0.7419441,0.9008096,1.494842,0.6811392,6.883991,217.7858,0.7419441,0.8478222,1.495703,0.7220879,6.883991,217.7858,0.7419441,10.6939,220.0287,4.344318e-07,10.74101,216.6791,2.172497e-07,0.5,0.5
3.0,0.5,0.8751946,1.488257,0.7120534,12.28029,221.0252,2.05264,0.9006082,1.487085,0.6902802,12.28029,221.0252,2.05264,0.849781,1.489429,0.7338265,12.28029,221.0252,2.05264,15.70539,224.2213,-4.43442e-07,15.84982,220.0878,4.437581e-07,0.5,0.5
4.0,0.6666667,0.8740768,1.484808,0.7084516,15.59636,217.7867,0.7920241,0.9006142,1.484362,0.6880344,15.59636,217.7867,0.7920241,0.8475394,1.485254,0.7288688,15.59636,217.7867,0.7920241,22.62311,225.5473,-9.249434e-07,22.83235,221.2585,-9.263591e-07,0.5,0.5
5.0,0.8333334,0.8655551,1.486603,0.7141914,14.47375,219.6466,359.1549,0.8912574,1.487082,0.692733,14.47375,219.6466,359.1549,0.8398528,1.486125,0.7356497,14.47375,219.6466,359.1549,17.43602,224.5275,4.47446e-07,17.44596,221.9792,0.0,0.5,0.5
6.0,1.0,0.8430734,1.489595,0.719611,11.48169,220.6824,0.3355655,0.8684918,1.489403,0.6978128,11.48169,220.6824,0.3355655,0.817655,1.489788,0.7414093,11.48169,220.6824,0.3355655,18.5155,219.9713,-4.501896e-07,18.50492,217.6772,-4.501619e-07,0.5,0.5
7.0,1.166667,0.799152,1.485007,0.717473,9.029272,218.4881,2.652113,0.8254858,1.483476,0.6968458,9.029272,218.4881,2.652113,0.7728181,1.486537,0.7381003,9.029272,218.4881,2.652113,18.01591,218.703,-4.488959e-07,18.13626,215.2583,-8.984074e-07,0.5,0.5
8.0,1.333333,0.7756155,1.482584,0.6518998,1.574728,222.4976,2.385644,0.8003092,1.481191,0.629326,1.574728,222.4976,2.385644,0.7509218,1.483978,0.6744736,1.574728,222.4976,2.385644,10.30336,222.4406,0.0,10.41425,219.3308,0.0,0.5,0.5
9.0,1.5,0.8004743,1.492324,0.5177947,1.733468,232.7304,2.214247,0.8207682,1.491031,0.4911905,1.733468,232.7304,2.214247,0.7801805,1.493617,0.5443989,1.733468,232.7304,2.214247,8.721976,234.7688,0.0,8.86287,231.2132,0.0,0.5,0.5
10.0,1.666667,0.7820676,1.488785,0.4763358,7.192974,243.5222,5.16102,0.7972744,1.485796,0.4466521,7.192974,243.5222,5.16102,0.7668608,1.491773,0.5060195,7.192974,243.5222,5.16102,13.52899,246.7824,8.781406e-07,13.82356,243.4047,8.792398e-07,0.5,0.5
