#Frame, Timer, HeadX, HeadY, HeadZ, HeadRX, HeadRY, HeadRZ, LHandX, LHandY, LHandZ, LHandRX, LHandRY, LHandRZ, RHandX, RHandY, RHandZ, RHandRX, RHandRY, RHandRZ, LEyeRX, LEyeRY, LEyeRZ, REyeRX, REyeRY, REyeRZ, LEyeConf, REyeConf
1 0.02596775 -0.6673582 2.00468 0.1908967 351.1556 273.0638 0.8679952 -0.6692709 2.004167 0.1566569 351.1556 273.0638 0.8679952 -0.6654456 2.005194 0.2251366 351.1556 273.0638 0.8679952 0 0 0 0 0 0 0 0
2 0.0303598 -0.6761357 2.00412 0.1933004 351.2738 271.5601 0.5087637 -0.6771156 2.003819 0.1590186 351.2738 271.5601 0.5087637 -0.6751556 2.004421 0.2275822 351.2738 271.5601 0.5087637 0 0 0 0 0 0 0 0
3 0.0337586 -0.6788905 2.003956 0.1932204 351.377 271.0696 0.1734106 -0.6795462 2.003854 0.1589298 351.377 271.0696 0.1734106 -0.6782347 2.004059 0.2275112 351.377 271.0696 0.1734106 0 0 0 0 0 0 0 0
4 0.0597918 -0.6806465 2.003558 0.1913937 351.7365 270.7627 359.5617 -0.6810654 2.003818 0.1571001 351.7365 270.7627 359.5617 -0.6802278 2.003299 0.2256873 351.7365 270.7627 359.5617 0 0 0 0 0 0 0 0
5 0.06306955 -0.6881151 2.002441 0.1903902 352.1154 269.3539 358.9403 -0.6876414 2.003069 0.156102 352.1154 269.3539 358.9403 -0.6885887 2.001813 0.2246782 352.1154 269.3539 358.9403 0 0 0 0 0 0 0 0
6 0.06719065 -0.6899616 2.001421 0.1887885 352.4205 268.9093 358.7697 -0.6892117 2.002151 0.1545073 352.4205 268.9093 358.7697 -0.6907114 2.000691 0.2230695 352.4205 268.9093 358.7697 0 0 0 0 0 0 0 0
7 0.09236956 -0.6907951 2.000057 0.1856378 353.4936 268.5197 358.018 -0.6897752 2.001235 0.1513762 353.4936 268.5197 358.018 -0.6918149 1.998878 0.2198996 353.4936 268.5197 358.018 0 0 0 0 0 0 0 0
8 0.09634781 -0.6961927 1.998471 0.1808537 354.6062 267.1841 357.036 -0.6943436 2.000237 0.146652 354.6062 267.1841 357.036 -0.6980419 1.996706 0.2150554 354.6062 267.1841 357.036 0 0 0 0 0 0 0 0
9 0.1010681 -0.6978431 1.999311 0.1785253 355.0338 266.7668 356.8121 -0.6957469 2.001212 0.1443452 355.0338 266.7668 356.8121 -0.6999393 1.997411 0.2127056 355.0338 266.7668 356.8121 0 0 0 0 0 0 0 0
10 0.1282113 -0.7001232 2.002934 0.1759405 354.4705 265.933 357.2635 -0.6975361 2.004563 0.14178 354.4705 265.933 357.2635 -0.7027103 2.001304 0.2101011 354.4705 265.933 357.2635 0 0 0 0 0 0 0 0
11 0.1357963 -0.7071625 2.004605 0.1667682 354.8401 263.6933 356.6503 -0.7032222 2.006601 0.1327568 354.8401 263.6933 356.6503 -0.7111027 2.002609 0.2007797 354.8401 263.6933 356.6503 0 0 0 0 0 0 0 0
12 0.1414474 -0.7085578 2.002779 0.1642622 354.9601 263.0349 356.4714 -0.7042226 2.004882 0.1303052 354.9601 263.0349 356.4714 -0.7128931 2.000677 0.1982192 354.9601 263.0349 356.4714 0 0 0 0 0 0 0 0
13 0.1670614 -0.7092822 1.998652 0.1622176 356.0181 261.8778 357.2649 -0.7043295 2.000285 0.1283193 356.0181 261.8778 357.2649 -0.7142348 1.99702 0.1961159 356.0181 261.8778 357.2649 0 0 0 0 0 0 0 0
14 0.1840731 -0.7147834 1.996148 0.1535444 357.1414 258.5388 358.173 -0.7079185 1.99724 0.1199591 357.1414 258.5388 358.173 -0.7216484 1.995056 0.1871296 357.1414 258.5388 358.173 0 0 0 0 0 0 0 0
15 0.18717 -0.7163237 1.996194 0.1515813 357.1858 257.6562 358.3416 -0.7089472 1.997185 0.1181015 357.1858 257.6562 358.3416 -0.7237003 1.995202 0.1850611 357.1858 257.6562 358.3416 0 0 0 0 0 0 0 0
16 0.203463 -0.7183619 1.997496 0.1502301 356.5858 256.8216 358.2329 -0.710485 1.998551 0.1168665 356.5858 256.8216 358.2329 -0.7262386 1.99644 0.1835936 356.5858 256.8216 358.2329 0 0 0 0 0 0 0 0
