#Frame, Timer, HeadX, HeadY, HeadZ, HeadRX, HeadRY, HeadRZ, LHandX, LHandY, LHandZ, LHandRX, LHandRY, LHandRZ, RHandX, RHandY, RHandZ, RHandRX, RHandRY, RHandRZ, LEyeRX, LEyeRY, LEyeRZ, REyeRX, REyeRY, REyeRZ, LEyeConf, REyeConf
1 0.0147683 -0.4457325 1.668774 -0.4526876 1.723374 116.0994 1.150076 -0.4309029 1.668097 -0.4223694 1.723374 116.0994 1.150076 -0.4605622 1.669451 -0.4830059 1.723374 116.0994 1.150076 16.84694 109.7014 -8.920587E-07 16.74116 106.1125 0 0.5 0.5
2 0.0323547 -0.4456375 1.669298 -0.4484127 1.320846 113.7809 1.004842 -0.4320397 1.668706 -0.4175206 1.320846 113.7809 1.004842 -0.4592353 1.66989 -0.4793048 1.320846 113.7809 1.004842 12.88418 97.55438 4.379123E-07 12.70292 94.43516 8.751956E-07 0.5 0.5
3 0.04363965 -0.4458261 1.670204 -0.4458975 1.062737 112.3003 0.9277328 -0.4330275 1.669657 -0.414665 1.062737 112.3003 0.9277328 -0.4586247 1.67075 -0.47713 1.062737 112.3003 0.9277328 12.45118 95.12252 4.37169E-07 12.26975 92.00857 -8.737316E-07 0.5 0.5
4 0.05605595 -0.446087 1.671274 -0.4413109 0.4846411 109.7191 0.9037313 -0.4347025 1.670741 -0.4095354 0.4846411 109.7191 0.9037313 -0.4574714 1.671806 -0.4730864 0.4846411 109.7191 0.9037313 11.07924 89.87366 -8.699882E-07 10.90928 87.2159 -4.347435E-07 0.5 0.5
5 0.06864855 -0.4468993 1.672461 -0.4369231 359.8693 107.2514 0.8913154 -0.4368881 1.671936 -0.4046885 359.8693 107.2514 0.8913154 -0.4569106 1.672986 -0.4691577 359.8693 107.2514 0.8913154 10.52941 87.43396 -4.341982E-07 10.3683 84.78044 -4.339731E-07 0.5 0.5
6 0.08107145 -0.447782 1.673178 -0.4329037 359.3682 105.0716 0.8887773 -0.4389997 1.672655 -0.4003128 359.3682 105.0716 0.8887773 -0.4565644 1.673702 -0.4654947 359.3682 105.0716 0.8887773 10.56364 88.49783 4.342465E-07 10.40793 85.39852 4.340281E-07 0.5 0.5
7 0.0918126 -0.4489329 1.673458 -0.4294327 358.985 103.2312 0.914216 -0.4411981 1.672919 -0.3965776 358.985 103.2312 0.914216 -0.4566677 1.673996 -0.4622878 358.985 103.2312 0.914216 10.05414 89.31061 -4.335447E-07 9.918678 85.76634 0 0.5 0.5
8 0.1057021 -0.4502822 1.673753 -0.4260345 358.6974 101.6451 0.9400327 -0.4434568 1.6732 -0.3929788 358.6974 101.6451 0.9400327 -0.4571075 1.674307 -0.4590902 358.6974 101.6451 0.9400327 9.62417 90.19114 0 9.527038 86.64988 -8.657139E-07 0.5 0.5
9 0.1189847 -0.4517319 1.674072 -0.4233811 358.4669 100.503 0.866497 -0.4455656 1.673561 -0.3901954 358.4669 100.503 0.866497 -0.4578981 1.674582 -0.4565668 358.4669 100.503 0.866497 9.354602 88.65348 -4.326404E-07 9.262822 85.11481 0 0.5 0.5
10 0.1343841 -0.4530973 1.674224 -0.4214035 358.3316 99.70205 0.9608442 -0.4473929 1.673658 -0.3881362 358.3316 99.70205 0.9608442 -0.4588018 1.67479 -0.4546707 358.3316 99.70205 0.9608442 11.32485 90.81693 -4.353635E-07 11.2444 87.51043 0 0.5 0.5
11 0.1463871 -0.4540357 1.674934 -0.4196064 358.2587 99.21861 1.107109 -0.4486091 1.674282 -0.3862943 358.2587 99.21861 1.107109 -0.4594623 1.675586 -0.4529186 358.2587 99.21861 1.107109 11.47426 92.42884 0 11.42144 88.90133 -4.355112E-07 0.5 0.5
12 0.1597364 -0.4548366 1.675375 -0.4177828 357.9776 98.69294 1.247509 -0.4497101 1.674641 -0.3844249 357.9776 98.69294 1.247509 -0.4599631 1.67611 -0.4511407 357.9776 98.69294 1.247509 11.60635 94.60305 -1.74319E-06 11.5947 91.30237 -4.357794E-07 0.5 0.5
13 0.173208 -0.4556101 1.676146 -0.4155919 357.6039 98.00378 1.406974 -0.4508769 1.675318 -0.3821781 357.6039 98.00378 1.406974 -0.4603433 1.676974 -0.4490057 357.6039 98.00378 1.406974 11.32491 94.11464 0 11.32485 90.81714 4.353635E-07 0.5 0.5
14 0.1874321 -0.45641 1.676732 -0.4130821 357.2426 97.12846 1.424877 -0.4521821 1.675894 -0.3796008 357.2426 97.12846 1.424877 -0.4606379 1.677571 -0.4465633 357.2426 97.12846 1.424877 10.94377 93.39947 1.304382E-06 10.95314 90.10625 1.739231E-06 0.5 0.5
15 0.2012572 -0.4571 1.676582 -0.4103658 356.8955 95.99238 1.227568 -0.4535377 1.67586 -0.3768045 356.8955 95.99238 1.227568 -0.4606623 1.677304 -0.4439271 356.8955 95.99238 1.227568 9.282767 88.44373 4.325514E-07 9.266685 85.14782 0 0.5 0.5
16 0.2170882 -0.4576895 1.676806 -0.4075549 356.837 94.74912 1.080022 -0.4548602 1.676171 -0.3739221 356.837 94.74912 1.080022 -0.4605189 1.677441 -0.4411876 356.837 94.74912 1.080022 6.76981 81.75788 -4.29884E-07 6.732868 78.2307 -2.149256E-07 0.5 0.5
17 0.2304163 -0.4583538 1.677097 -0.4051622 356.7595 93.50058 0.9507799 -0.4562613 1.676538 -0.3714743 356.7595 93.50058 0.9507799 -0.4604463 1.677656 -0.4388502 356.7595 93.50058 0.9507799 6.574342 80.57004 2.148563E-07 6.5276 77.04441 4.296723E-07 0.5 0.5
18 0.2427941 -0.4591357 1.677697 -0.402621 356.5749 92.17166 0.9981793 -0.4578215 1.67711 -0.3688942 356.5749 92.17166 0.9981793 -0.4604498 1.678284 -0.4363479 356.5749 92.17166 0.9981793 6.506629 80.21984 4.296543E-07 6.457553 76.47305 0 0.5 0.5
19 0.2559997 -0.4598166 1.678289 -0.3997373 356.2597 90.63773 1.079491 -0.4593995 1.677654 -0.3659883 356.2597 90.63773 1.079491 -0.4602338 1.678923 -0.4334863 356.2597 90.63773 1.079491 6.880343 80.05787 0 6.842905 76.7374 0 0.5 0.5
20 0.2705538 -0.4605272 1.678593 -0.3968502 355.9478 88.99478 1.077645 -0.4610745 1.677959 -0.363103 355.9478 88.99478 1.077645 -0.45998 1.679226 -0.4305973 355.9478 88.99478 1.077645 7.152318 79.86225 -6.453518E-07 7.124244 76.5704 -4.302082E-07 0.5 0.5
21 0.2849812 -0.4614972 1.679427 -0.3941761 355.6524 87.15958 1.088642 -0.4631212 1.678787 -0.3604637 355.6524 87.15958 1.088642 -0.4598733 1.680067 -0.4278885 355.6524 87.15958 1.088642 6.860484 78.20956 -4.299654E-07 6.836734 74.9197 -2.14972E-07 0.5 0.5
22 0.3012373 -0.4627501 1.679962 -0.3914764 355.4366 85.38288 0.987235 -0.4654209 1.679382 -0.3578296 355.4366 85.38288 0.987235 -0.4600792 1.680542 -0.4251231 355.4366 85.38288 0.987235 6.556609 76.32417 4.296972E-07 6.535349 73.03635 2.148395E-07 0.5 0.5
23 0.3127878 -0.4639645 1.679866 -0.3895285 355.3044 83.80735 0.8288259 -0.4675658 1.67938 -0.3559671 355.3044 83.80735 0.8288259 -0.4603631 1.680353 -0.4230898 355.3044 83.80735 0.8288259 3.264711 70.95102 1.068952E-07 3.266373 67.65086 -1.068954E-07 0.5 0.5
24 0.3255656 -0.4650834 1.680004 -0.3883736 355.2665 82.43492 0.8730873 -0.469485 1.679491 -0.3549082 355.2665 82.43492 0.8730873 -0.4606817 1.680516 -0.4218391 355.2665 82.43492 0.8730873 2.915189 69.39739 2.1372E-07 2.916777 66.09734 0 0.5 0.5
25 0.3394202 -0.4664519 1.680274 -0.3874212 355.2598 81.38488 0.9834338 -0.4714606 1.679697 -0.3540423 355.2598 81.38488 0.9834338 -0.4614432 1.680852 -0.4208001 355.2598 81.38488 0.9834338 2.886376 68.31542 -2.137145E-07 2.891732 65.23867 1.068578E-07 0.5 0.5
26 0.3535281 -0.4675728 1.680661 -0.3870357 355.2611 80.65359 1.035517 -0.4730045 1.680053 -0.3537235 355.2611 80.65359 1.035517 -0.4621411 1.681269 -0.4203478 355.2611 80.65359 1.035517 2.799812 69.73831 0 2.82227 65.99223 -1.068513E-07 0.5 0.5
27 0.3717926 -0.4686631 1.680964 -0.3870661 355.3362 80.08735 1.075792 -0.4744226 1.680332 -0.3538095 355.3362 80.08735 1.075792 -0.4629037 1.681596 -0.4203227 355.3362 80.08735 1.075792 2.853878 69.13595 1.068542E-07 2.877952 65.38971 -1.068565E-07 0.5 0.5
28 0.3860246 -0.4697854 1.681483 -0.3872272 355.3819 79.54604 1.098563 -0.4758581 1.680837 -0.3540267 355.3819 79.54604 1.098563 -0.4637126 1.682128 -0.4204278 355.3819 79.54604 1.098563 3.320896 70.13558 1.069012E-07 3.345136 66.6144 0 0.5 0.5
29 0.3988862 -0.4709581 1.681543 -0.3878022 355.4217 79.2133 1.105816 -0.4772237 1.680894 -0.3546376 355.4217 79.2133 1.105816 -0.4646925 1.682193 -0.4209669 355.4217 79.2133 1.105816 3.23497 71.22092 -1.06892E-07 3.267321 67.47757 3.206864E-07 0.5 0.5
30 0.4111156 -0.472218 1.681152 -0.3893515 355.548 79.01937 1.221577 -0.4785917 1.680435 -0.3562089 355.548 79.01937 1.221577 -0.4658442 1.68187 -0.4224941 355.548 79.01937 1.221577 3.259117 71.29131 3.206838E-07 3.291211 68.21749 1.06898E-07 0.5 0.5
31 0.4238501 -0.4739143 1.681629 -0.3910056 355.6489 78.80886 1.272714 -0.4804087 1.680881 -0.3578871 355.6489 78.80886 1.272714 -0.46742 1.682377 -0.4241241 355.6489 78.80886 1.272714 3.351972 72.81998 0 3.3978 69.30577 1.069096E-07 0.5 0.5
32 0.4365849 -0.4754525 1.680838 -0.3933109 355.6107 78.57599 1.378712 -0.4820759 1.680028 -0.3602194 355.6107 78.57599 1.378712 -0.468829 1.681648 -0.4264024 355.6107 78.57599 1.378712 3.378654 72.57983 1.069075E-07 3.42793 69.06556 1.06913E-07 0.5 0.5
33 0.449116 -0.4775793 1.681149 -0.3962836 355.6677 78.20267 1.5378 -0.4844116 1.680245 -0.3632371 355.6677 78.20267 1.5378 -0.4707471 1.682052 -0.4293302 355.6677 78.20267 1.5378 4.082482 73.22012 2.139864E-07 4.136491 69.71768 4.280018E-07 0.5 0.5
34 0.4632067 -0.4799247 1.680929 -0.3997489 355.8431 77.73924 1.74291 -0.4870175 1.679905 -0.3667608 355.8431 77.73924 1.74291 -0.472832 1.681953 -0.432737 355.8431 77.73924 1.74291 4.183028 73.28478 -2.140135E-07 4.25022 69.7655 -2.14032E-07 0.5 0.5
35 0.4750156 -0.4815599 1.680648 -0.4025174 356.0843 77.55904 1.737942 -0.4887608 1.679627 -0.3695526 356.0843 77.55904 1.737942 -0.474359 1.681669 -0.4354822 356.0843 77.55904 1.737942 4.778342 73.52284 2.141878E-07 4.853203 70.00804 0 0.5 0.5
36 0.4868734 -0.4845126 1.680346 -0.4073409 356.4089 77.17352 1.830196 -0.491937 1.67927 -0.3744276 356.4089 77.17352 1.830196 -0.4770881 1.681422 -0.4402543 356.4089 77.17352 1.830196 5.013323 73.35151 0 5.086332 69.83543 0 0.5 0.5
37 0.5002112 -0.4877105 1.679745 -0.412962 356.6799 76.83544 1.855789 -0.495333 1.678653 -0.3800945 356.6799 76.83544 1.855789 -0.4800879 1.680836 -0.4458296 356.6799 76.83544 1.855789 5.332328 73.62585 2.143711E-07 5.413438 70.10468 2.143997E-07 0.5 0.5
38 0.5158484 -0.4912441 1.679242 -0.4196414 356.9026 76.63583 1.809486 -0.4989869 1.678178 -0.3868011 356.9026 76.63583 1.809486 -0.4835014 1.680307 -0.4524817 356.9026 76.63583 1.809486 10.49462 85.73484 -4.341492E-07 10.6701 82.46257 -4.343977E-07 0.5 0.5
39 0.5276613 -0.4947309 1.678681 -0.426625 357.048 76.46463 1.595437 -0.5025816 1.677743 -0.3938064 357.048 76.46463 1.595437 -0.4868802 1.67962 -0.4594435 357.048 76.46463 1.595437 11.32641 92.16375 0 11.58372 88.8945 -8.715246E-07 0.5 0.5
40 0.5426733 -0.4984887 1.679021 -0.4340692 356.9897 76.26103 1.370031 -0.5064626 1.678215 -0.4012769 356.9897 76.26103 1.370031 -0.4905148 1.679827 -0.4668616 356.9897 76.26103 1.370031 11.68606 92.39802 4.359225E-07 11.93748 89.12877 -4.363228E-07 0.5 0.5
41 0.5557395 -0.5017963 1.680144 -0.4417656 356.7648 75.90347 1.375609 -0.5099714 1.679335 -0.4090229 356.7648 75.90347 1.375609 -0.4936212 1.680953 -0.4745083 356.7648 75.90347 1.375609 11.69003 92.08246 8.718577E-07 11.92925 88.86274 0 0.5 0.5
42 0.569055 -0.5048482 1.681249 -0.4501943 356.2148 75.38308 1.363295 -0.5133134 1.680447 -0.4175252 356.2148 75.38308 1.363295 -0.4963831 1.68205 -0.4828634 356.2148 75.38308 1.363295 11.46234 91.69385 -8.711481E-07 11.69812 88.47654 0 0.5 0.5
43 0.5818542 -0.5079225 1.682097 -0.4578249 355.8715 75.00625 1.452258 -0.5165937 1.681244 -0.4252112 355.8715 75.00625 1.452258 -0.4992512 1.682951 -0.4904386 355.8715 75.00625 1.452258 10.98386 90.99436 -4.348529E-07 11.20077 87.94198 4.351758E-07 0.5 0.5
44 0.5944319 -0.5094439 1.683041 -0.4618821 355.6527 74.77548 1.235265 -0.5182534 1.682315 -0.4293024 355.6527 74.77548 1.235265 -0.5006344 1.683766 -0.4944618 355.6527 74.77548 1.235265 10.84942 90.62242 0 11.05945 87.57349 4.349647E-07 0.5 0.5
45 0.6076834 -0.5124908 1.682779 -0.4703561 355.3791 74.1991 1.378517 -0.5216172 1.68197 -0.4378657 355.3791 74.1991 1.378517 -0.5033644 1.683589 -0.5028465 355.3791 74.1991 1.378517 10.65761 90.2913 0 10.8619 87.24393 -4.346743E-07 0.5 0.5
46 0.6227689 -0.5153118 1.683033 -0.4791113 355.38 73.74519 1.376165 -0.5246954 1.682225 -0.4466943 355.38 73.74519 1.376165 -0.5059282 1.683841 -0.5115284 355.38 73.74519 1.376165 10.43664 89.73447 -8.681362E-07 10.64669 86.69912 8.687288E-07 0.5 0.5
47 0.6338953 -0.5178235 1.683718 -0.4883975 355.4871 73.34201 1.491202 -0.5274309 1.682843 -0.4560478 355.4871 73.34201 1.491202 -0.5082161 1.684594 -0.5207472 355.4871 73.34201 1.491202 10.45465 89.3039 8.681865E-07 10.66312 86.26968 4.343878E-07 0.5 0.5
48 0.6469769 -0.520012 1.684362 -0.4975925 355.5032 73.09068 1.543826 -0.5297589 1.683456 -0.4652854 355.5032 73.09068 1.543826 -0.5102652 1.685269 -0.5298996 355.5032 73.09068 1.543826 10.51131 88.98131 0 10.72855 85.94572 8.68963E-07 0.5 0.5
49 0.6606625 -0.521736 1.684837 -0.5070319 355.3345 72.69283 1.705905 -0.5316962 1.683835 -0.4747928 355.3345 72.69283 1.705905 -0.5117759 1.685838 -0.5392711 355.3345 72.69283 1.705905 10.44972 88.68119 -4.340863E-07 10.66674 85.65393 0 0.5 0.5
50 0.6748856 -0.5235491 1.684794 -0.5167572 355.2219 72.23302 1.828285 -0.5337594 1.683721 -0.4845987 355.2219 72.23302 1.828285 -0.5133387 1.685867 -0.5489157 355.2219 72.23302 1.828285 10.07409 88.12219 8.671429E-07 10.29544 85.07076 0 0.5 0.5
51 0.6916294 -0.5244613 1.684306 -0.5218934 355.4142 72.00333 1.778337 -0.5348064 1.683262 -0.4897771 355.4142 72.00333 1.778337 -0.5141162 1.68535 -0.5540098 355.4142 72.00333 1.778337 9.998633 87.68818 0 10.22539 84.63788 1.301329E-06 0.5 0.5
