#Frame, Timer, HeadX, HeadY, HeadZ, HeadRX, HeadRY, HeadRZ, LHandX, LHandY, LHandZ, LHandRX, LHandRY, LHandRZ, RHandX, RHandY, RHandZ, RHandRX, RHandRY, RHandRZ, LEyeRX, LEyeRY, LEyeRZ, REyeRX, REyeRY, REyeRZ, LEyeConf, REyeConf
1 0.0075442 0.6268915 1.562993 0.8854288 357.5034 204.9735 5.188706 0.6579019 1.559884 0.8708363 357.5034 204.9735 5.188706 0.5958811 1.566103 0.9000213 357.5034 204.9735 5.188706 9.21399 209.5821 -2.162334E-07 9.581367 205.6493 0 0.5 0.5
2 0.0173514 0.626363 1.563633 0.8844397 357.9164 204.9733 5.3763 0.6573717 1.560411 0.8698684 357.9164 204.9733 5.3763 0.5953543 1.566855 0.899011 357.9164 204.9733 5.3763 9.774991 210.1081 0 10.11911 206.6093 2.16816E-07 0.5 0.5
3 0.02288205 0.6258891 1.564018 0.8833525 358.2476 204.9676 5.577633 0.6568951 1.560674 0.8688027 358.2476 204.9676 5.577633 0.594883 1.567361 0.8979024 358.2476 204.9676 5.577633 10.10851 210.1444 2.168089E-07 10.46522 206.6432 -2.170541E-07 0.5 0.5
4 0.0293471 0.62547 1.563683 0.8821485 358.6336 204.9709 5.727756 0.6564758 1.560249 0.8676191 358.6336 204.9709 5.727756 0.5944643 1.567116 0.8966779 358.6336 204.9709 5.727756 10.43912 210.179 0 10.80732 206.6752 -2.172975E-07 0.5 0.5
5 0.03597685 0.6251227 1.562743 0.8809079 359.0622 204.9893 5.833345 0.6561284 1.559246 0.8663936 359.0622 204.9893 5.833345 0.594117 1.56624 0.8954222 359.0622 204.9893 5.833345 10.27986 210.827 0 10.66233 207.3372 -2.171933E-07 0.5 0.5
6 0.0449443 0.6247822 1.560939 0.8797489 359.4828 205.0191 5.936124 0.6557853 1.55738 0.8652439 359.4828 205.0191 5.936124 0.5937791 1.564498 0.8942538 359.4828 205.0191 5.936124 10.66943 210.8662 -2.171984E-07 11.059 207.3728 -2.17482E-07 0.5 0.5
7 0.04971845 0.6244906 1.558278 0.8785655 359.93 205.0778 5.994703 0.6554872 1.554684 0.8640555 359.93 205.0778 5.994703 0.5934939 1.561872 0.8930756 359.93 205.0778 5.994703 11.71495 211.4831 2.179841E-07 12.09788 208.1864 0 0.5 0.5
8 0.05647535 0.6243761 1.554879 0.8773057 0.432932 205.1933 5.983046 0.6553574 1.551292 0.8627614 0.432932 205.1933 5.983046 0.5933947 1.558466 0.8918501 0.432932 205.1933 5.983046 12.14972 211.5756 -2.183339E-07 12.53799 208.2742 2.186579E-07 0.5 0.5
9 0.063157 0.6245624 1.551491 0.8760147 0.9478207 205.3177 5.934388 0.6555285 1.547934 0.8614305 0.9478207 205.3177 5.934388 0.5935964 1.555049 0.8905989 0.9478207 205.3177 5.934388 13.12708 215.1332 0 13.5632 211.8427 -2.195667E-07 0.5 0.5
10 0.0702853 0.6250648 1.548494 0.8746007 1.345022 205.4323 5.831686 0.6560173 1.544999 0.8599729 1.345022 205.4323 5.831686 0.5941123 1.55199 0.8892285 1.345022 205.4323 5.831686 13.59006 215.2421 0 14.02665 211.9452 4.400064E-07 0.5 0.5
